path,type,size_bytes,sha256,manifest_size_match,manifest_hash_match,third_party_original,prior_r1_5_path,r1_5_to_r1_6_lineage,docx_content_qa,active_comments,tracked_changes,forbidden_visible_residue,fallback_font_mentions,overall_result
00_README_AND_TRANSMITTAL/README_AND_TRANSMITTAL_r1.6.docx,DOCX,43677,79fe0294d3223772b5df5243fe923db34850ab6bd8820d85f87fd60f3315ac70,PASS,PASS,NO,00_README_AND_TRANSMITTAL/README_AND_TRANSMITTAL_r1.5.docx,CHANGED,PASS,0,0,0,0,PASS
00_README_AND_TRANSMITTAL/README_AND_TRANSMITTAL_r1.6.pdf,PDF,57616,3ab73e640d54453fa0d5fd7a8c7ead23deb45751b8ec876140c750316e196849,PASS,PASS,NO,00_README_AND_TRANSMITTAL/README_AND_TRANSMITTAL_r1.5.pdf,CHANGED,N/A,0,0,0,0,PASS
00_README_AND_TRANSMITTAL/SUP-MOKO-005_Transmittal_Update_r1.6.docx,DOCX,44601,4862084bbae0fab054508295a370a5da01074fd3605032acaf8a266b20710c3b,PASS,PASS,NO,00_README_AND_TRANSMITTAL/SUP-MOKO-005_Transmittal_Update_r1.5.docx,CHANGED,PASS,0,0,0,0,PASS
00_README_AND_TRANSMITTAL/SUP-MOKO-005_Transmittal_Update_r1.6.pdf,PDF,63535,2012cd8f42ec70f17c266c2f3b2c47c5377d8e6287cd5a605b659c461b28647e,PASS,PASS,NO,00_README_AND_TRANSMITTAL/SUP-MOKO-005_Transmittal_Update_r1.5.pdf,CHANGED,N/A,0,0,0,0,PASS
01_LEGAL/LEG-SUP-002_EMOPET_MOKO_Master_NNN_EN_CN_Executed.pdf,PDF,799478,332a1e971215ed959cc1a7de71b14f03eb4b2ec11a3264bc8c2c7139b17a8b7b,PASS,PASS,PASS,01_LEGAL/LEG-SUP-002_EMOPET_MOKO_Master_NNN_EN_CN_Executed.pdf,BYTE_IDENTICAL,N/A,0,0,0,0,PASS
01_LEGAL/LEG-SUP-005_EMOPET_MOKO_Power_Of_Attorney_EN_CN_Executed.pdf,PDF,525887,d426978b1013b7b00c73c4e02bc94759b9ada1a287efb135029f2b85d9ccac33,PASS,PASS,PASS,01_LEGAL/LEG-SUP-005_EMOPET_MOKO_Power_Of_Attorney_EN_CN_Executed.pdf,BYTE_IDENTICAL,N/A,0,0,0,0,PASS
01_LEGAL/LEG-SUP-009_MOKO_Technology_Ltd_Company_Profile.pdf,PDF,1198816,064c59449b05c5c0c423c26cafbf09e02c3b1f3f6db831745a6eda3a7039b3bb,PASS,PASS,PASS,01_LEGAL/LEG-SUP-009_MOKO_Technology_Ltd_Company_Profile.pdf,BYTE_IDENTICAL,N/A,0,0,0,0,PASS
01_LEGAL/LEG-SUP-010_Huachuang_Business_Licence_2021-12-24.pdf,PDF,516633,52cbc2b74ac2cd931d86f127a1f68d5fd07dd565ff74aa34079cc0eff5039c29,PASS,PASS,PASS,01_LEGAL/LEG-SUP-010_Huachuang_Business_Licence_2021-12-24.pdf,BYTE_IDENTICAL,N/A,0,0,0,0,PASS
02_PROJECT_OVERVIEW/PRD-MAT-001_EMOPET_MAT_Product_Definition.docx,DOCX,53184,76c161bdda2cade32d14fb3f8c9906af9b665f3e3f98865eeca8ef70f159b647,PASS,PASS,NO,02_PROJECT_OVERVIEW/PRD-MAT-001_EMOPET_MAT_Product_Definition.docx,CHANGED,PASS,0,0,0,0,PASS
02_PROJECT_OVERVIEW/PRD-TAG-001_EMOPET_TAG_Product_Intent.docx,DOCX,44736,20e22e5ff4dbafaa0b118b83e1ecd6c7bbd0da56b94c598a4da3f49d7ee6ef2d,PASS,PASS,NO,02_PROJECT_OVERVIEW/PRD-TAG-001_EMOPET_TAG_Product_Intent.docx,CHANGED,PASS,0,0,0,0,PASS
